authorityGroupId,createdTimestamp,updatedTimestamp,atlasStatus,groupType,reference,title,url,notes
,,,relOnly,collectedAuthority,ITU-T X.681 (12/1997) / ISO/IEC 8824-2:1998 (as amended),Information Technology — Abstract Syntax Notation One (ASN.1): Information Object Specification [ITU-T X.681 (12/1997) / ISO/IEC 8824-2:1998],,
,,,relOnly,collectedAuthority,ITU-T X.681 (07/2002) / ISO/IEC 8824-2:2002 (as amended),Information Technology — Abstract Syntax Notation One (ASN.1): Information Object Specification [ITU-T X.681 (07/2002) / ISO/IEC 8824-2:2002],,
,,,relOnly,collectedAuthority,ITU-T X.681 (11/2008) / ISO/IEC 8824-2:2008 (as amended),Information Technology — Abstract Syntax Notation One (ASN.1): Information Object Specification [ITU-T X.681 (11/2008) / ISO/IEC 8824-2:2008],,
,,,relOnly,collectedAuthority,ITU-T X.681 (11/2015) / ISO/IEC 8824-2:2015 (as amended),Information Technology — Abstract Syntax Notation One (ASN.1): Information Object Specification [ITU-T X.681 (11/2015) / ISO/IEC 8824-2:2015],,
,,,relOnly,collectedAuthority,ITU-T X.681 (02/2021) / ISO/IEC 8824-2:2021 (as amended),Information Technology — Abstract Syntax Notation One (ASN.1): Information Object Specification [ITU-T X.681 (02/2021) / ISO/IEC 8824-2:2021],,
,,,relOnly,versionedAuthority,ITU-T X.682 / ISO/IEC 8824-3,Information Technology — Abstract Syntax Notation One (ASN.1): Constraint Specification,,
,,,relOnly,collectedAuthority,ITU-T X.682 (07/1994) / ISO/IEC 8824-3:1995 (as amended),Information Technology — Abstract Syntax Notation One (ASN.1): Constraint Specification [ITU-T X.682 (07/1994) / ISO/IEC 8824-3:1995],,
,,,relOnly,collectedAuthority,ITU-T X.682 (12/1997) / ISO/IEC 8824-3:1998 (as amended),Information Technology — Abstract Syntax Notation One (ASN.1): Constraint Specification [ITU-T X.682 (12/1997) / ISO/IEC 8824-3:1998],,
,,,relOnly,collectedAuthority,ITU-T X.682 (07/2002) / ISO/IEC 8824-3:2002 (as amended),Information Technology — Abstract Syntax Notation One (ASN.1): Constraint Specification [ITU-T X.682 (07/2002) / ISO/IEC 8824-3:2002],,
,,,relOnly,collectedAuthority,ITU-T X.682 (11/2008) / ISO/IEC 8824-3:2008 (as amended),Information Technology — Abstract Syntax Notation One (ASN.1): Constraint Specification [ITU-T X.682 (11/2008) / ISO/IEC 8824-3:2008],,
