authorityId,createdTimestamp,updatedTimestamp,atlasCategory,atlasStatus,reference,versionTag,title,status,type,ietfStream,publishedDate,deprecatedDate,withdrawnDate,canonicalUrl,canonicalFormat,plainTextUrl,htmlUrl,otherUrl,otherFormat,doi,notes
,,,,stub,RFC1110,,Problem with the TCP Big Window Option,Deprecated; Obsoleted,RFC - Historic,Legacy,1989-08,,,https://www.rfc-editor.org/rfc/rfc1110.txt,Text (ASCII),https://www.rfc-editor.org/rfc/rfc1110.txt,https://www.rfc-editor.org/rfc/rfc1110.html,https://datatracker.ietf.org/doc/rfc1110/,IETF Datatracker,10.17487/RFC1110,
,,,,stub,RFC1145,,TCP Alternate Checksum Options,Deprecated; Obsoleted,RFC - Historic,Legacy,1990-02,,,https://www.rfc-editor.org/rfc/rfc1145.txt,Text (ASCII),https://www.rfc-editor.org/rfc/rfc1145.txt,https://www.rfc-editor.org/rfc/rfc1145.html,https://datatracker.ietf.org/doc/rfc1145/,IETF Datatracker,10.17487/RFC1145,
,,,,stub,RFC1146,,TCP Alternate Checksum Options,Deprecated; Obsoleted,RFC - Historic,Legacy,1990-03,,,https://www.rfc-editor.org/rfc/rfc1146.txt,Text (ASCII),https://www.rfc-editor.org/rfc/rfc1146.txt,https://www.rfc-editor.org/rfc/rfc1146.html,https://datatracker.ietf.org/doc/rfc1146/,IETF Datatracker,10.17487/RFC1146,
,,,,stub,RFC1379,,Extending TCP for Transactions -- Concepts,Deprecated; Obsoleted; Updated,RFC - Historic,Legacy,1992-11,,,https://www.rfc-editor.org/rfc/rfc1379.txt,Text (ASCII),https://www.rfc-editor.org/rfc/rfc1379.txt,https://www.rfc-editor.org/rfc/rfc1379.html,https://datatracker.ietf.org/doc/rfc1379/,IETF Datatracker,10.17487/RFC1379,
,,,,stub,RFC1644,,T/TCP -- TCP Extensions for Transactions Functional Specification,Deprecated; Obsoleted,RFC - Historic,Legacy,1994-07,,,https://www.rfc-editor.org/rfc/rfc1644.txt,Text (ASCII),https://www.rfc-editor.org/rfc/rfc1644.txt,https://www.rfc-editor.org/rfc/rfc1644.html,https://datatracker.ietf.org/doc/rfc1644/,IETF Datatracker,10.17487/RFC1644,
,,,,stub,RFC1693,,An Extension to TCP : Partial Order Service,Deprecated; Obsoleted,RFC - Historic,Legacy,1994-11,,,https://www.rfc-editor.org/rfc/rfc1693.txt,Text (ASCII),https://www.rfc-editor.org/rfc/rfc1693.txt,https://www.rfc-editor.org/rfc/rfc1693.html,https://datatracker.ietf.org/doc/rfc1693/,IETF Datatracker,10.17487/RFC1693,
,,,,stub,RFC4614,,A Roadmap for Transmission Control Protocol (TCP) Specification Documents,Obsoleted; Updated,RFC - Informational,IETF,2006-09-13,,,https://www.rfc-editor.org/rfc/rfc4614.txt,Text (ASCII),https://www.rfc-editor.org/rfc/rfc4614.txt,https://www.rfc-editor.org/rfc/rfc4614.html,https://datatracker.ietf.org/doc/rfc4614/,IETF Datatracker,10.17487/RFC4614,
,,,,stub,RFC6013,,TCP Cookie Transactions (TCPCT),Deprecated; Obsoleted,RFC - Historic,Independent,2011-01-21,,,https://www.rfc-editor.org/rfc/rfc6013.txt,Text (ASCII),https://www.rfc-editor.org/rfc/rfc6013.txt,https://www.rfc-editor.org/rfc/rfc6013.html,https://datatracker.ietf.org/doc/rfc6013/,IETF Datatracker,10.17487/RFC6013,
,,,,stub,RFC6247,,"Moving the Undeployed TCP Extensions RFC 1072, RFC 1106, RFC 1110, RFC 1145, RFC 1146, RFC 1379, RFC 1644, and RFC 1693 to Historic Status",Informational,RFC - Informational,IETF,2011-05-17,,,https://www.rfc-editor.org/rfc/rfc6247.txt,Text (ASCII),https://www.rfc-editor.org/rfc/rfc6247.txt,https://www.rfc-editor.org/rfc/rfc6247.html,https://datatracker.ietf.org/doc/rfc6247/,IETF Datatracker,10.17487/RFC6247,
,,,,stub,RFC7414,,A Roadmap for Transmission Control Protocol (TCP) Specification Documents,Informational; Updated,RFC - Informational,IETF,2015-02-02,,,https://www.rfc-editor.org/rfc/rfc7414.txt,Text (ASCII),https://www.rfc-editor.org/rfc/rfc7414.txt,https://www.rfc-editor.org/rfc/rfc7414.html,https://datatracker.ietf.org/doc/rfc7414/,IETF Datatracker,10.17487/RFC7414,
