artifactId,createdTimestamp,updatedTimestamp,artifactType,artifactSubtype,artifactTypeGroup,shortName,fullName,status,notes
,,,binaryEncoding,binaryToTextEncoding,,Base32 (ext hex),Base32 binary encoding (extended hex),,
,,,binaryEncoding,binaryToTextEncoding,,Base64,Base64 binary encoding (standard),,
,,,binaryEncoding,binaryToTextEncoding,,Base64URL,Base64 binary encoding (URL and filename safe),,
,,,binaryEncoding,binaryToTextEncoding,,Quoted-Printable,Quoted-Printable binary encoding,,
,,,scalarFormat,dateTimeFormat,,ISO 8601 Date,ISO 8601 date format,,
,,,scalarFormat,dateTimeFormat,,ISO 8601 Time,ISO 8601 time format,,
,,,scalarFormat,dateTimeFormat,,ISO 8601 Datetime,ISO 8601 combined date/time format,,
,,,scalarFormat,timeDurationFormat,,ISO 8601 Duration,ISO 8601 duration of time interval,,
,,,scalarFormat,timeIntervalFormat,,ISO 8601 Interval,ISO 8601 time interval,,
,,,scalarFormat,dateTimeFormat,,ISO 8601 EDTF,ISO 8601 extended date/time format,,
,,,scalarFormat,dateTimeFormat,,RFC3339 IDTF,RFC3339 Internet date/time format,,Profiles ISO 8601 Datetime
,,,dataSerializationFormat,structuredBinaryDocument,,TZif,IANA Time Zone Information Format,,
,,,dataSchemaFormat,localizationDataStructure,,Unicode LDML,Unicode Locale Data Markup Language,,
,,,dataSchemaFormat,syntaxDefinitionSchema,,ABNF,Augmented Backus-Naur Form,,
,,,dataSchemaFormat,generalObjectSchema,,ASN.1,Abstract Syntax Notation 1 module definition,,
,,,dataSerializationFormat,structuredObject,,ASN.1 Value Notation,Abstract Syntax Notation 1 value,,Represents data that conforms to an ASN.1 schema definition
,,,dataSerializationFormat,structuredBinaryObject,,ASN.1 BER,ASN.1 Basic Encoding Rules encoded data,,
,,,dataSerializationFormat,structuredBinaryObject,,ASN.1 CER,ASN.1 Canonical Encoding Rules encoding data,,
,,,dataSerializationFormat,structuredBinaryObject,,ASN.1 DER,ASN.1 Distinguished Encoding Rules encoded data,,
,,,dataSerializationFormat,structuredMarkupDocument,,SGML,Standard Generalized Markup Language,,
,,,dataSerializationFormat,structuredMarkupDocument,true,XML,Extensible Markup Language,,
,,,dataSerializationFormat,structuredMarkupDocument,,XML v1.0,Extensible Markup Language (version 1.0),,
,,,dataSerializationFormat,structuredMarkupDocument,,XML v1.1,Extensible Markup Language (version 1.1),,
,,,dataSchemaFormat,generalObjectSchema,,XSD,XML Schema Definition,,
,,,dataTransformationFacility,generalPurposeTransformation,,XSLT,Extensible Stylesheet Language Transformations,,
,,,dataSerializationFormat,kvPairDocument,,TOML,TOML (Tom's Obvious Minimal Language),,
,,,dataSerializationFormat,structuredDataDocument,,YAML,YAML (YAML Ain't Markup Language),,
,,,dataSerializationFormat,structuredObject,,JSON,JavaScript Object Notation,,
,,,dataSerializationFormat,structuredObject,,JSONL,JavaScript Object Notation by Lines,,"Each entry (e.g., in a log file, etc.) is a unique, complete JSON object on a single line"
,,,dataSerializationFormat,structuredObject,,JSONC,JavaScript Object Notation with Comments,,Extends base JSON syntax with support for comments
,,,dataSerializationFormat,structuredObject,,JSON5,JSON5 Data Interchange Format,,Extended JSON with features from EcmaScript 5.1 || Informally known as 'JSON for Humans'
,,,dataSchemaFormat,generalObjectSchema,,JSON Schema,JSON Schema,,
,,,dataSerializationFormat,structuredObject,,CBOR,Concise Binary Object Representation,,
,,,binaryEncoding,formattedEncoding,,PEM,Privacy Enhanced Mail derived data encoding structure,,
,,,cryptographicAlgorithm,blockCipher,,DES,Data Encryption Algorithm (DEA) [Data Encryption Standard],,
,,,cryptographicAlgorithm,blockCipher,true,3DES,Triple Data Encryption Algorithm (TDEA) [Data Encryption Standard],,
,,,cryptographicAlgorithm,blockCipher,,3DES (3 key),Triple Data Encryption Algorithm (3 key option),,
,,,cryptographicAlgorithm,blockCipher,,3DES (2 key),Triple Data Encryption Algorithm (2 key option),,
,,,cryptographicAlgorithm,blockCipher,,3DES (1 key),Triple Data Encryption Algorithm (1 key option),,
,,,cryptographicAlgorithm,blockCipher,,Rijndael,Rijndael symmetric block cipher,,
,,,cryptographicAlgorithm,blockCipher,true,AES,Advanced Encryption Standard family,,
,,,cryptographicAlgorithm,blockCipher,,AES-128,Advanced Encryption Standard (128 bit key),,
